"";"X";"Team";"mybet";"tipico";"bet365";"betsafe";"sportingbet";"date"
"98";11;"Stuttgart";0,136015469530282;0,15525482121668;0,136782374069798;NA;"10,0";"2016-02-04"
"99";12;"Frankfurt";0,14961701648331;0,104242522816914;0,115738931905214;NA;"9,00";"2016-02-04"
"100";13;"W. Bremen";0,267173243720197;0,243232553239466;0,231477863810428;NA;"7,00";"2016-02-04"
"101";14;"Hannover";0,467553176510344;0,486465106478932;0,537359326702778;NA;"1,36";"2016-02-04"
"102";15;"Hoffenheim";0,340038673825705;0,331680754417453;0,33435691439284;NA;"2,20";"2016-02-04"
"109";4;"Darmstadt";0,311702117673563;0,304040691549332;0,231477863810428;NA;"2,10";"2016-02-08"
"110";5;"Ingolstadt";0,0831205647129501;0,104242522816914;0,136782374069798;NA;"11,0";"2016-02-08"
"112";7;"1. FC Köln";0,0356230991626929;0,0331680754417453;0,0442531210225818;NA;"41,0";"2016-02-08"
"113";8;"HSV";0,0831205647129501;0,104242522816914;0,075230305738389;NA;"17,0";"2016-02-08"
"114";9;"Mainz 05";0,032525438365937;0,0291879063887359;0,0147510403408606;NA;"67,0";"2016-02-08"
"115";10;"Augsburg";0,0935106353020689;0,104242522816914;0,136782374069798;NA;"13,0";"2016-02-08"
"116";11;"Stuttgart";0,136015469530282;0,15525482121668;0,136782374069798;NA;"10,0";"2016-02-08"
"117";12;"Frankfurt";0,14961701648331;0,104242522816914;0,115738931905214;NA;"9,00";"2016-02-08"
"118";13;"W. Bremen";0,267173243720197;0,243232553239466;0,231477863810428;NA;"7,00";"2016-02-08"
"119";14;"Hannover";0,467553176510344;0,486465106478932;0,537359326702778;NA;"1,36";"2016-02-08"
"120";15;"Hoffenheim";0,340038673825705;0,331680754417453;0,33435691439284;NA;"2,20";"2016-02-08"
"127";4;"Darmstadt";0,281641478469082;0,229957079615099;0,150520175420911;NA;"5,00";"2016-02-18"
"128";5;"Ingolstadt";0,0525730759808954;0,0632381968941523;0,0501733918069705;NA;"17,0";"2016-02-18"
"130";7;"1. FC Köln";NA;0,0344935619422649;0,0183561189537697;NA;"26,0";"2016-02-18"
"131";8;"HSV";0,037552197129211;0,0505905575153218;0,0442706398296798;NA;"10,0";"2016-02-18"
"133";10;"Augsburg";0,121322483032836;0,126476393788305;0,13683652310992;NA;"5,75";"2016-02-18"
"134";11;"Stuttgart";0,0154626694061457;0,0303543345091931;0,0358381370049789;NA;"15,0";"2016-02-18"
"135";12;"Frankfurt";0,197149034928358;0,151771672545966;0,188150219276139;NA;"4,50";"2016-02-18"
"136";13;"W. Bremen";0,225313182775266;0,216816675065665;0,215028822029874;NA;"3,60";"2016-02-18"
"137";14;"Hannover";0,630876911770745;0,622015051417891;0,660176207986454;NA;"1,181";"2016-02-18"
"138";15;"Hoffenheim";0,438108966507462;0,474286476706142;0,491895998107554;NA;"1,50";"2016-02-18"
"145";4;"Darmstadt";0,302191507446691;0,273443891330708;0,167367017084751;NA;"3,50";"2016-03-02"
"146";5;"Ingolstadt";0,0503652512411151;0,0492199004395274;0,0221515169670993;NA;"23,0";"2016-03-02"
"148";7;"1. FC Köln";NA;0,0295319402637165;0,0183695506556434;NA;"34,0";"2016-03-02"
"149";8;"HSV";0,0359751794579394;0,0492199004395274;0,0443030339341987;NA;"13,0";"2016-03-02"
"151";10;"Augsburg";0,116227502864112;0,123049751098819;0,0836835085423753;NA;"7,00";"2016-03-02"
"152";11;"Stuttgart";0,0148133091885633;0,0295319402637165;0,0358643608038751;NA;"26,0";"2016-03-02"
"153";12;"Frankfurt";0,215851076747636;0,184574626648228;0,231738946732732;NA;"4,33";"2016-03-02"
"154";13;"W. Bremen";0,251826256205575;0,246099502197637;0,301260630752551;NA;"2,75";"2016-03-02"
"155";14;"Hannover";0,604383014893381;0,605162710322059;0,697362571186461;NA;"1,10";"2016-03-02"
"156";15;"Hoffenheim";0,408366901954987;0,410165836996062;0,396395566779672;NA;"1,72";"2016-03-02"
"163";4;"Darmstadt";0,302191507446691;0,273443891330708;0,167367017084751;NA;"3,50";"2016-03-07"
"164";5;"Ingolstadt";0,0503652512411151;0,0492199004395274;0,0221515169670993;NA;"23,0";"2016-03-07"
"166";7;"1. FC Köln";NA;0,0295319402637165;0,0183695506556434;NA;"34,0";"2016-03-07"
"167";8;"HSV";0,0359751794579394;0,0492199004395274;0,0443030339341987;NA;"13,0";"2016-03-07"
"169";10;"Augsburg";0,116227502864112;0,123049751098819;0,0836835085423753;NA;"7,00";"2016-03-07"
"170";11;"Stuttgart";0,0148133091885633;0,0295319402637165;0,0358643608038751;NA;"26,0";"2016-03-07"
"171";12;"Frankfurt";0,215851076747636;0,184574626648228;0,231738946732732;NA;"4,33";"2016-03-07"
"172";13;"W. Bremen";0,251826256205575;0,246099502197637;0,301260630752551;NA;"2,75";"2016-03-07"
"173";14;"Hannover";0,604383014893381;0,605162710322059;0,697362571186461;NA;"1,10";"2016-03-07"
"174";15;"Hoffenheim";0,408366901954987;0,410165836996062;0,396395566779672;NA;"1,72";"2016-03-07"
"181";4;"Darmstadt";0,309829909328488;0,308522443554136;0,200689368378582;NA;"2,20";"2016-03-22"
"182";5;"Ingolstadt";0,0130614569618872;0,013574987516382;0,0183557349126752;NA;"15,0";"2016-03-22"
"184";7;"1. FC Köln";0,0130614569618872;0,013574987516382;0,0147565712043075;NA;"101";"2016-03-22"
"185";8;"HSV";0,0350597002661184;0,0399264338717118;0,0578911639553603;NA;"11,0";"2016-03-22"
"187";10;"Augsburg";0,204964401555769;0,199632169358559;0,167241140315485;NA;"4,00";"2016-03-22"
"188";11;"Stuttgart";0,0214882033889113;0,027149975032764;0,0442697136129225;NA;"34,0";"2016-03-22"
"189";12;"Frankfurt";0,333067152528125;0,33937468790955;0,358373872104611;NA;"2,62";"2016-03-22"
"190";13;"W. Bremen";0,204964401555769;0,199632169358559;0,200689368378582;NA;"5,00";"2016-03-22"
"191";14;"Hannover";0,659538915897276;0,658979976523398;0,749586784282553;NA;"1,01";"2016-03-22"
"192";15;"Hoffenheim";0,204964401555769;0,199632169358559;0,188146282854921;NA;"4,00";"2016-03-22"
"199";4;"Darmstadt";0,164221043905978;0,163455925277291;0,134295307916899;NA;"–";"2016-04-14"
"203";8;"HSV";0,038640245624936;0,0490367775831874;0,0464868373558496;NA;"–";"2016-04-14"
"205";10;"Augsburg";0,164221043905978;0,21015761821366;0,151082221406511;NA;"–";"2016-04-14"
"206";11;"Stuttgart";0,0505295519710702;0,0817279626386456;0,0929736747116991;NA;"–";"2016-04-14"
"207";12;"Frankfurt";0,437922783749275;0,735551663747811;0,908765241542924;NA;"–";"2016-04-14"
"208";13;"W. Bremen";0,298583716192687;0,612959719789842;0,509982181962906;NA;"–";"2016-04-14"
"210";15;"Hoffenheim";0,164221043905978;0,147110332749562;0,120865777125209;NA;"–";"2016-04-14"
"253";4;"Darmstadt";NA;0,118127084180014;0,0931987129701542;NA;"–";"2016-04-28"
"257";8;"HSV";NA;0,0157502778906685;NA;NA;"–";"2016-04-28"
"259";10;"Augsburg";NA;0,0472508336720056;NA;NA;"–";"2016-04-28"
"260";11;"Stuttgart";NA;0,295317710450035;0,302895817153001;NA;"–";"2016-04-28"
"261";12;"Frankfurt";NA;0,888173565263263;0,969266614889604;NA;"–";"2016-04-28"
"262";13;"W. Bremen";NA;0,536941291727336;0,576944413624764;NA;"–";"2016-04-28"
"264";15;"Hoffenheim";NA;0,0984392368166783;0,0576944413624764;NA;"–";"2016-04-28"
"271";4;"Darmstadt";NA;0,20373108050802;0,177629769942868;NA;"–";"2016-05-04"
"275";8;"HSV";NA;0,00977909186438497;NA;NA;"–";"2016-05-04"
"277";10;"Augsburg";NA;0,0244477296609624;NA;NA;"–";"2016-05-04"
"278";11;"Stuttgart";NA;0,643361306867432;0,654425468210565;NA;"–";"2016-05-04"
"279";12;"Frankfurt";NA;0,788636440676207;0,812685221960832;NA;"–";"2016-05-04"
"280";13;"W. Bremen";NA;0,30559662076203;0,355259539885735;NA;"–";"2016-05-04"
"282";15;"Hoffenheim";NA;0,0244477296609624;NA;NA;"–";"2016-05-04"
